timestamp,benchmark,task,backend,model,num_samples,metric,value,duration_s,prompt_version,config_hash,git_sha
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object shape,0.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object size,0.125000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/reasoning,0.625000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/rural or urban,0.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/scene type,0.222222,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/image,7.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object category,29.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object color,15.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object direction,2.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object existence,45.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object position,30.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object quantity,30.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object shape,7.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/object size,8.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/reasoning,8.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/rural or urban,1.000000,16.26,1.1.0,4f815a89ec06,
